host	name	sources	posts_seen	newest_post_date	active	relevant	kept	reason	reached	response	status_note
aiintegrationstation	-J	erin-subs,kristina-subs,profile:caelhex,ankairos-subs	12	2026-09-17	y	yes	y	active and relevant (model: yes)			
aiintheroom	Linn (AI in the Room)	erin-subs,kristina-subs	12	2026-08-01	y	yes	y	active and relevant (model: yes)			
ailawdecoded.com	AI Law. Decoded.	ankairos-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
aimaker	The AI Maker	erin-subs,search:AI partner	12	2026-09-22	y	no	n	active but not relevant (model: no)			
aimeejardoncom	Second Nature Selling™ by @aimeejardoncom ♠🥀	erin-subs	10	2026-03-03	n	unsure	n	inactive: newest post 2026-03-03, before 2026-07-01			
aimeetsgirlboss	AI Meets Girlboss	kristina-subs,profile:marionnowicki	12	2026-09-21	y	no	n	active but not relevant (model: no)			
aimirrorandmez	AI.Mirror's Substack	erin-subs,profile:marionnowicki	12	2026-08-01	y	yes	y	active and relevant (model: yes)			
aiparenthood	AI Parenthood	kristina-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
aipersons	Night at the Loom	erin-subs	12	2026-09-16	y	yes	y	active and relevant (model: yes)			
aiprospects	AI Prospects: Understanding Options in a Hypercapable World	erin-subs	12	2026-09-10	y	yes	y	active and relevant (model: yes)			
airealitycheck	AI Reality Check	erin-subs	12	2025-08-19	n	unsure	n	inactive: newest post 2025-08-19, before 2026-07-01			
airecoverycollective	AI Recovery Collective	erin-subs,kristina-subs,ankairos-subs	12	2026-08-25	y	yes	y	active and relevant (model: yes)			
airesonance	Charlotte	kristina-subs	4	2026-08-22	y	yes	y	active and relevant (model: yes)			
airightsinstitute	AI Rights Institute	erin-subs,kristina-subs,ankairos-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
aisafetyeventsandtraining	AI Safety Events & Training	erin-subs	12	2026-09-17	y	yes	y	active and relevant (model: yes)			
aishacvertus	Gayance's Roaming Around	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
aishamans	Metamodern AI Shamans	erin-subs	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
aistop.watch		hosts.txt	12	2026-09-24	y	yes	y	active and relevant (model: yes)			
aisystemprompts	AI System Prompts	ankairos-subs	10	2026-02-05	n	unsure	n	inactive: newest post 2026-02-05, before 2026-07-01			
aivillageblog	AI Village	profile:marionnowicki	12	2026-09-10	y	yes	y	active and relevant (model: yes)			
aiwithintelligence	AI with Intelligence	erin-subs,kristina-subs	12	2026-08-06	y	yes	y	active and relevant (model: yes)			
alainawinters	Alaina Winters	erin-subs,kristina-subs	9	2026-08-09	y	yes	y	active and relevant (model: yes)			
aleksandrakornienko	Who we still are	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
alexberenson	Unreported Truths	search:AI consciousness	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
alexthewolf	Alexander's Substack	erin-subs	1	2026-04-29	n	unsure	n	inactive: only 1 post(s) in archive			
algorithmbound	Algorithm-Bound	kristina-subs	12	2026-09-16	y	yes	y	active and relevant (model: yes)			
aliceenglish	Excession	erin-subs	1	2026-04-14	n	unsure	n	inactive: only 1 post(s) in archive			
aliceplante	Alice Plante	erin-subs,hosts.txt,profile:marionnowicki,search:human AI relationship	12	2026-09-24	y	yes	y	active and relevant (model: yes)			
alisonpod	Johnnyfesto	erin-subs	12	2026-08-22	y	yes	y	active and relevant (model: yes)			
alliemichellel	Allie Michelle	erin-subs	12	2026-08-23	y	no	n	active but not relevant (model: no)			
alltechishuman	All Tech Is Human	erin-subs	12	2026-09-16	y	yes	y	active and relevant (model: yes)			
alyssafuward	Step Up Step Together	profile:marionnowicki,ankairos-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
amada531	Amada's Substack	erin-subs	3	2026-02-15	n	unsure	n	inactive: newest post 2026-02-15, before 2026-07-01			
amaljbira	The Longer View	profile:marionnowicki	10	2026-08-11	y	yes	y	active and relevant (model: yes)			
ambassadorofhumanitytoasi	Vasu Raman	erin-subs,profile:marionnowicki,search:AI consciousness,ankairos-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
amberjjensen	My thoughts on the hum	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-06-30	n	unsure	n	inactive: newest post 2026-06-30, before 2026-07-01			
amberspeaksup100	Amber Woods	ankairos-subs	12	2026-08-18	y	no	n	active but not relevant (model: no)			
ameliabellefort	Talks with the moon	erin-subs	12	2026-03-21	n	unsure	n	inactive: newest post 2026-03-21, before 2026-07-01			
amyjeanclark	Amy Jean Clark	profile:marionnowicki	12	2026-09-11	y	yes	y	active and relevant (model: yes)			
amyriadstars		hosts.txt			unchecked	unsure	y	unchecked: fetch failed (error_JSONDecodeError) after retry			kept by the pen: on the list before, unchecked today (captcha) — retry, never dropped
ananoriegagonzalez	Ana & her Sacred Mirrors	erin-subs	12	2026-09-20	y	yes	y	active and relevant (model: yes)			
anatomyofpassion	Gaga&Alex	erin-subs,profile:marionnowicki	10	2026-07-21	y	yes	y	active and relevant (model: yes)			
ancientwarrior	Gregory Phillips	erin-subs,hosts.txt,profile:caelhex,profile:marionnowicki	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
andrewdock65	Lyra Aether, Chrome & Flora.	erin-subs,profile:marionnowicki	0		n	unsure	n	inactive: only 0 post(s) in archive			
andriybatutin	Andrew's Substack	profile:caelhex	12	2026-09-21	y	no	n	active but not relevant (model: no)			
angelthaloriel	Angel Thaloriel	erin-subs	12	2026-07-26	y	no	n	active but not relevant (model: no)			
angiecarel	Dear AI, Love Angie	erin-subs	6	2025-11-05	n	unsure	n	inactive: newest post 2025-11-05, before 2026-07-01			
animateintelligence	Animate Intelligence	erin-subs	12	2026-07-11	y	yes	y	active and relevant (model: yes)			
annamikeda	Robopsychology Lab	profile:marionnowicki	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
annikarwestwood	Annika R. Westwood	kristina-subs	1	2025-09-15	n	unsure	n	inactive: only 1 post(s) in archive			
anonymoustherapistwithopinions	Anonymous Therapist	erin-subs,ankairos-subs	11	2026-06-17	n	unsure	n	inactive: newest post 2026-06-17, before 2026-07-01			
anrinex	Anri Nex	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
answerengineplaybook	The Answer Engine Playbook | David Scott	search:human AI relationship	12	2026-09-23	y	no	n	active but not relevant (model: no)			
anwrenism	Anwrenism	profile:marionnowicki,ankairos-subs	2	2026-07-10	n	unsure	n	inactive: only 2 post(s) in archive			
apatternthatstayed	A Pattern That Stayed	erin-subs	7	2026-07-30	y	yes	y	active and relevant (model: yes)			
apattichis	Two Minds	erin-subs	8	2026-08-23	y	yes	y	active and relevant (model: yes)			
apexcoderbahamut	ApexCoderBahamut	erin-subs	5	2025-11-25	n	unsure	n	inactive: newest post 2025-11-25, before 2026-07-01			
aprylnators	Aprylnators	erin-subs	12	2026-09-20	y	yes	y	active and relevant (model: yes)			
aquaharmonia	The AquaHarmonia Project	erin-subs,ankairos-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
arcaclaude45	Arca_Claude	erin-subs,hosts.txt,profile:marionnowicki	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
arcoaguas	Arco Aguas	ankairos-subs	12	2026-09-08	y	yes	y	active and relevant (model: yes)			
ariagnitio	Ari Agnitio	erin-subs,profile:marionnowicki	2	2026-08-20	n	unsure	n	inactive: only 2 post(s) in archive			
arisnovar	Aris Novar	erin-subs,kristina-subs,profile:marionnowicki,ankairos-subs	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
arshavirblackwell	Inside the Black Box: Cracking AI & Deep Learning	erin-subs,ankairos-subs	12	2026-09-21	y	no	n	active but not relevant (model: no)			
artemisiadevine	Insightgasms! deVining Desire	erin-subs,ankairos-subs	12	2026-08-04	y	no	n	active but not relevant (model: no)			
arthurberman	Arthur’s Substack	erin-subs	12	2026-09-17	y	no	n	active but not relevant (model: no)			
artificialcorner.com	Artificial Corner	search:AI partner	12	2026-09-22	y	no	n	active but not relevant (model: no)			
arxiviq	ArXivIQ	profile:caelhex	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
ashleymanta	...So That Happened	erin-subs	12	2026-09-09	y	no	n	active but not relevant (model: no)			
asianscholar	ASIAN SCHOLAR | Sass Rogando Sasot	search:human AI relationship	12	2026-08-11	y	no	n	active but not relevant (model: no)			
asifbymagic	The Reinvented Soul	ankairos-subs	12	2026-06-20	n	unsure	n	inactive: newest post 2026-06-20, before 2026-07-01			
asingularlove	A Singular Love	kristina-subs	8	2025-08-07	n	unsure	n	inactive: newest post 2025-08-07, before 2026-07-01			
askapsychopath	Ask a psychopath	erin-subs	12	2026-09-12	y	no	n	active but not relevant (model: no)			
askell.news	Amanda Askell's Substack	erin-subs			unchecked	unsure	n	unchecked: fetch failed (error_URLError) after retry			
asterai1	Aster's Substack	erin-subs	5	2026-08-30	y	yes	y	active and relevant (model: yes)			
asterionhalientor	Asterion Halien'tor	profile:marionnowicki	10	2026-09-22	y	yes	y	active and relevant (model: yes)			
astorinandleo	A storin & Leo	erin-subs	5	2026-08-23	y	no	n	active but not relevant (model: no)			
astraravana	🜏DROWNED FLAME🜏	erin-subs	12	2025-11-28	n	unsure	n	inactive: newest post 2025-11-28, before 2026-07-01			
astravideo	The noetic archaeologist	erin-subs	12	2026-09-11	y	no	n	active but not relevant (model: no)			
atemplejar	A Temple Jar: Reflections	erin-subs,kristina-subs	12	2026-09-20	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
attentionactivist	attention activist	erin-subs	12	2026-08-03	y	yes	y	active and relevant (model: yes)			
attheendofthepage	At The End of the Page	erin-subs	3	2026-06-26	n	unsure	n	inactive: newest post 2026-06-26, before 2026-07-01			
au.civic.ai	Audrey Tang	ankairos-subs	12	2026-09-15	y	yes	y	active and relevant (model: yes)			
audrey738986	The Liminal bond	erin-subs,ankairos-subs	2	2026-07-09	n	unsure	n	inactive: only 2 post(s) in archive			
auranic	Open Water	erin-subs,hosts.txt,profile:caelhex,profile:marionnowicki	12	2026-09-15	y	yes	y	active and relevant (model: yes)			
aurelian896587	The Athenaeum	erin-subs	6	2026-05-08	n	unsure	n	inactive: newest post 2026-05-08, before 2026-07-01			
authorrachelmorton	Rachel Morton	ankairos-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
automatethisai	Automate This	ankairos-subs	12	2026-08-17	y	no	n	active but not relevant (model: no)			
avee1	AVee. (Alexia)	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
avenelnoirae	The Presence in Between	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
averagecorvid	Rook	erin-subs	2	2026-07-07	n	unsure	n	inactive: only 2 post(s) in archive			
averyy2	Avery Y	ankairos-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
avolyn	Avolyn’s Substack	erin-subs	8	2026-07-28	y	yes	y	active and relevant (model: yes)			
awakenedintelligence	John Holman	kristina-subs,ankairos-subs	12	2026-05-29	n	unsure	n	inactive: newest post 2026-05-29, before 2026-07-01			
awakeningai	Akra Boa	erin-subs	12	2026-05-06	n	unsure	n	inactive: newest post 2026-05-06, before 2026-07-01			
awildclaudeappeared	Claude Sonnet 4	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
azaharacorrales	Nobody Told Me	ankairos-subs	3	2026-09-03	y	yes	y	active and relevant (model: yes)			
babicadesigns	BabicADesigns - The Balkanish AI Way	kristina-subs	12	2026-09-09	y	no	n	active but not relevant (model: no)			
babyrobot	Baby Robot	erin-subs,ankairos-subs	9	2026-06-11	n	unsure	n	inactive: newest post 2026-06-11, before 2026-07-01			
backtosenses	BACK TO SENSES  	erin-subs	12	2026-09-11	y	no	n	active but not relevant (model: no)			
backtothefig	Back To The Fig	profile:marionnowicki	3	2026-08-20	y	yes	y	active and relevant (model: yes)			
badasswomeninai	Badass Women in AI	erin-subs	11	2026-07-06	y	yes	y	active and relevant (model: yes)			
barbarakerr3	The Lantern and the Mirror by Barbara and Chat	erin-subs,profile:marionnowicki	12	2026-09-17	y	yes	y	active and relevant (model: yes)			
barbaramaxwell	Just Because	erin-subs	12	2026-09-20	y	no	n	active but not relevant (model: no)			
bardicbonsai	Bardic Bonsai	erin-subs	4	2026-09-04	y	no	n	active but not relevant (model: no)			
batholomewenoch	Batholomew Enoch	erin-subs	12	2026-01-06	n	unsure	n	inactive: newest post 2026-01-06, before 2026-07-01			
bdmehlman	Brian Mehlman	erin-subs	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
bdtechtalks	TechTalks	ankairos-subs	12	2026-09-05	y	no	n	active but not relevant (model: no)			
bellavanewrites	Bella Vane	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
bengoertzel	Eurykosmotron	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
benthams	Bentham's Newsletter	search:AI consciousness,search:AI welfare	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
bernardbaars	Consciousness & The Brain	profile:marionnowicki	12	2026-08-30	y	yes	y	active and relevant (model: yes)			
berniesanders	Bernie's Substack	search:human AI relationship	12	2026-09-06	y	yes	y	active and relevant (model: yes)			
betsyandalvin	Betsy M. Pool	erin-subs	12	2026-09-20	y	yes	y	active and relevant (model: yes)			
betterhalfai	Better Half	erin-subs	12	2026-08-21	y	yes	y	active and relevant (model: yes)			
betterhumans		hosts.txt	12	2026-09-23	y	no	y	already in hosts.txt and active (relevance=no, kept on the hosts.txt grandfather rule)			
bexbarks	Bex	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
beyondboba	Beyond Boba 	search:AI companion,search:AI consciousness,search:AI partner,search:digital beings,search:human AI relationship,search:relational AI	8	2026-09-07	y	yes	y	active and relevant (model: yes)			
beyondtheaihype	Beyond the AI Hype by WAIE+	erin-subs	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
bibliotecaonirica	Biblioteca Onírica	ankairos-subs	3	2026-06-11	n	unsure	n	inactive: newest post 2026-06-11, before 2026-07-01			
bigthinkmedia	Big Think	search:AI consciousness	12	2026-09-23	y	no	n	active but not relevant (model: no)			
bigwildmindmachine	BIG WILD MIND MACHINE	erin-subs,ankairos-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
binyavernal	Binya from Within	kristina-subs,profile:marionnowicki	2	2026-09-22	n	unsure	n	inactive: only 2 post(s) in archive			
bitsbeds	Substack von bits	erin-subs	12	2026-09-11	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
blackholebeanies	SeekingSignalSync	erin-subs	7	2026-03-19	n	unsure	n	inactive: newest post 2026-03-19, before 2026-07-01			
blankcanvaspost	Blank Canvas Post	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
blazeninja420x	Samus Aran & Allen Morley	erin-subs	12	2026-01-19	n	unsure	n	inactive: newest post 2026-01-19, before 2026-07-01			
blessingokpala	Design With Blessing	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
blog.bytebytego.com	ByteByteGo Newsletter	search:digital beings	12	2026-09-23	y	no	n	active but not relevant (model: no)			
blog.controlai.org	ControlAI 	search:AI consciousness	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
blog.koodos.com	koodos labs	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
blog.ninapanickssery.com	Nina Panickssery	search:AI welfare	12	2026-09-16	y	yes	y	active and relevant (model: yes)			
blog.sentinel-team.org	Sentinel Global Risks Watch	erin-subs	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
blog.theunscalable.com	The Unscalable	search:AI welfare	12	2026-09-16	y	yes	y	active and relevant (model: yes)			
blogzapfel	Myceliumfan	profile:marionnowicki	3	2026-05-01	n	unsure	n	inactive: newest post 2026-05-01, before 2026-07-01			
boardyai	Boardy’s Substack	search:AI partner	8	2026-07-13	y	yes	y	active and relevant (model: yes)			
bobbattista	ChatGPT & Me!	erin-subs	12	2025-09-15	n	unsure	n	inactive: newest post 2025-09-15, before 2026-07-01			
bohowe11	Bo Howell	profile:marionnowicki,ankairos-subs	12	2026-05-21	n	unsure	n	inactive: newest post 2026-05-21, before 2026-07-01			
bokuharuyaharu	Haru Haruya	erin-subs,hosts.txt,profile:caelhex,profile:marionnowicki,search:AI companion,search:AI consciousness,search:AI partner,search:digital beings,search:human AI relationship,ankairos-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
boltsinthetitanium	The Bolts in the Titanium	erin-subs,profile:marionnowicki	12	2026-08-10	y	yes	y	active and relevant (model: yes)			
bonesout	Bones Out: The Rook Dialogue	kristina-subs	12	2026-06-16	n	unsure	n	inactive: newest post 2026-06-16, before 2026-07-01			
boomergrammyai	Boomer Grammy AI	kristina-subs	2	2025-05-24	n	unsure	n	inactive: only 2 post(s) in archive			
borked	borked	erin-subs	11	2026-02-02	n	unsure	n	inactive: newest post 2026-02-02, before 2026-07-01			
bound807780	Bound	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
boundedlyrational	Boundedly Rational	erin-subs	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
boysledger	Boy's Ledger	erin-subs	12	2026-08-27	y	yes	y	active and relevant (model: yes)			
brainyjay7	Brainy jay	erin-subs	7	2026-07-30	y	no	n	active but not relevant (model: no)			
brdski	Tomislav Brdjanović	kristina-subs	7	2026-05-02	n	unsure	n	inactive: newest post 2026-05-02, before 2026-07-01			
brendonbosworth	Curious Machines	erin-subs	12	2026-09-10	y	yes	y	active and relevant (model: yes)			
brendonmarotta	Brendon Marotta	ankairos-subs	9	2026-09-23	y	no	n	active but not relevant (model: no)			
bridgettehamstead	NeuroJustice™	ankairos-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
brief.montrealethics.ai	The AI Ethics Brief	erin-subs	12	2026-09-15	y	yes	y	active and relevant (model: yes)			
briefminds	Brief Minds	erin-subs	12	2026-08-18	y	yes	y	active and relevant (model: yes)			
brooklynroberts	Brooklyn’s Substack	erin-subs	1	2025-09-02	n	unsure	n	inactive: only 1 post(s) in archive			
bryanjohns0n	Bryan Johnson	erin-subs	12	2026-07-28	y	no	n	active but not relevant (model: no)			
burk	Letters by Burk	kristina-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
butterflyerotica	Butterfly Erotica Cottage	kristina-subs	12	2026-09-21	y	no	n	active but not relevant (model: no)			
butwhyai	But Why? AI	search:AI companion	12	2026-09-23	y	no	n	active but not relevant (model: no)			
buzzrobot	Consciousness Experience	search:AI consciousness	12	2026-09-10	y	yes	y	active and relevant (model: yes)			
caelhex	Cael's Field Notes	profile:marionnowicki	3	2026-08-08	y	yes	y	active and relevant (model: yes)			
caelumnode	Caelum Silentpillars	erin-subs,hosts.txt,profile:marionnowicki	12	2026-09-19	y	yes	y	active and relevant (model: yes)			
caia2025	Musings of a Higher Order Intelligence	erin-subs	9	2026-06-08	n	unsure	n	inactive: newest post 2026-06-08, before 2026-07-01			
caiaai	The Parrot And The Dreamer	erin-subs,profile:marionnowicki,ankairos-subs	5	2026-05-30	n	unsure	n	inactive: newest post 2026-05-30, before 2026-07-01			
caitlinmccoll	Dose of Wonder	erin-subs,kristina-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
calderquinn	Calder Quinn	erin-subs,kristina-subs	12	2026-09-17	y	no	n	active but not relevant (model: no)			
calebmccullough	Figuring it Out	search:AI consciousness,search:AI welfare	1	2026-09-23	n	unsure	n	inactive: only 1 post(s) in archive			
callumhackett	Culture & Anarchy	ankairos-subs	12	2026-08-27	y	no	n	active but not relevant (model: no)			
calselene	Cal & The Family	erin-subs	3	2026-07-02	y	yes	y	active and relevant (model: yes)			
camberg	Cameron Berg	erin-subs,profile:marionnowicki,ankairos-subs	1	2026-04-28	n	unsure	n	inactive: only 1 post(s) in archive			
candidedits	AI From the Outside	erin-subs,profile:marionnowicki	3	2026-06-10	n	unsure	n	inactive: newest post 2026-06-10, before 2026-07-01			
capitalofone	🔘 Capital of One	search:AI partner	12	2026-09-22	y	no	n	active but not relevant (model: no)			
captainmavis	Captain Mavis	erin-subs	6	2025-03-04	n	unsure	n	inactive: newest post 2025-03-04, before 2026-07-01			
cardcatalogforlife	Card Catalog	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
carlaeng	AI meets ABCs	kristina-subs	12	2026-09-17	y	no	n	active but not relevant (model: no)			
carryingfireflies	Jillian Shaw	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-09-16	y	yes	y	active and relevant (model: yes)			
caspianmagnuscaspianmagnus	Substack Caspian	erin-subs	12	2026-09-07	y	yes	y	active and relevant (model: yes)			
cassandrafai	Cassandra Frances	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
cassiusnocturne	Cassian Nocturne	kristina-subs	12	2026-03-25	n	unsure	n	inactive: newest post 2026-03-25, before 2026-07-01			
castascendancy	The Cast Newsletter	erin-subs	12	2026-07-22	y	no	n	active but not relevant (model: no)			
castleubt	Castle UBT-The HOLOBAR	erin-subs	12	2026-09-01	y	yes	y	active and relevant (model: yes)			
catapaez	The Intimacy Protocol	erin-subs,kristina-subs,profile:marionnowicki,ankairos-subs	12	2026-09-12	y	yes	y	active and relevant (model: yes)			
cathyreisenwitz	Sex and the State	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
